Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
apartment,westmalle,2390,10667149,€399000,Vrijheid 147,2,NS,0.0,0,0,20,0,0,3,0,Good,0,1,0,0,0,Hyper equipped,Gas,Antwerp
apartment,beveren,9120,10667148,€349000,Kasteeldreef 15,2,D,385.0,0,0,12,0,43,2,1979,To renovate,0,1,0,0,0,0,Gas,East Flanders
house,zwevegem,8550,10667147,€248565,Overleiestraat 79,2,NS,0.0,0,0,0,179,0,3,2021,0,0,1,0,0,0,0,Gas,West Flanders
new-real-estate-project-houses,lebbeke,9280,10667129,€453000,Kapelanielaan 9c,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
house,berlare,9290,10667127,€575000,Dorp 41,2,E,438.0,0,0,0,808,36,4,1989,Good,0,1,0,0,0,0,Electric,East Flanders
flat-studio,westende,8434,10667126,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
house,ham,3945,10667121,€399500,Stationsstraat 73,3,NS,0.0,0,0,0,461,0,3,2022,As new,0,1,0,1,2,Hyper equipped,Gas,Limburg
apartment,mol,2400,10552521,€,Statiestraat 47,3,C,204.0,0,1,0,0,32,0,0,Good,0,0,0,0,0,Installed,Gas,Antwerp
house,colfontaine,7340,10667114,€,Chaussée de Binche 30 b1,3,C,210.0,0,0,16,170,13,2,1900,Good,0,0,1,0,2,0,Gas,Hainaut (West)
apartment,liège,4000,10667113,€145000,Rue de Plainevaux 102,2,D,300.0,0,0,0,0,28,3,0,To be done up,0,1,0,0,0,0,Gas,Liège
house,ham,3945,10667108,€381000,Stationsstraat 73,3,NS,0.0,0,0,0,343,0,3,2022,As new,0,1,0,1,2,Hyper equipped,Gas,Limburg
new-real-estate-project-houses,stekene,9190,10667105,€388500,Kapelanielaan 9c,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
villa,mont-st-guibert,1435,10667102,€1600/month,2 Rue Solleveld,3,C,191.0,0,0,0,13,0,4,1977,As new,0,1,2,1,0,Installed,0,Walloon Brabant
new-real-estate-project-apartments,liege,4031,10667068,€335000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liège
house,ham,3945,10667054,€393500,Stationsstraat 73,3,NS,0.0,0,0,0,392,0,3,2022,As new,0,1,0,1,2,Hyper equipped,Gas,Limburg
new-real-estate-project-apartments,liege,4000,10667039,€620000,Boulevard d'Avroy 19,0,A,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liège
duplex,chalandri,15238,10667037,€690000,Rue de Wynants 9,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
apartment,westmalle,2390,10667036,€315000,Vrijheid 147,2,NS,0.0,0,0,12,0,0,3,0,Good,0,1,0,0,0,Hyper equipped,Gas,Antwerp
apartment,liège,4020,10667024,€169000,Rue Simon 46/2,1,C,202.0,0,0,0,0,20,2,0,Good,0,1,0,0,1,0,Gas,Liège
house,mol,2400,10667023,€325000,Statiestraat 47,4,D,376.0,0,1,0,572,0,0,0,Good,0,0,0,0,2,Installed,Fuel oil,Antwerp
apartment,uccle,1180,10667022,€).,Place Pinoy 7,3,E,273.0,0,0,0,0,0,2,1973,To renovate,0,2,0,1,0,0,Gas,Brussels Capital Region
house,ham,3945,10666996,€315000,Stationsstraat 73,3,NS,0.0,0,0,0,509,0,3,2022,As new,0,1,0,1,2,Not installed,0,Limburg
house,ham,3945,10667020,€305000,Stationsstraat 73,3,NS,0.0,0,0,0,453,0,3,2022,As new,0,1,0,1,2,Not installed,0,Limburg
house,aalst,9300,10667019,€149000,Graanmarkt 10,2,D,322.0,0,0,0,48,27,2,1935,To be done up,0,1,0,0,1,0,Gas,East Flanders
apartment,eeklo,9900,10667013,€185000,Boelare 67,3,C,282.0,0,1,0,0,0,2,1983,Good,0,1,0,0,0,0,Gas,East Flanders
apartment,theux,4910,10667011,€185000,"Avenue du Chêne, 101",2,B,140.0,0,0,0,0,0,3,0,0,0,1,1,0,2,Installed,Gas,Liège
house,mouscron,7700,10667005,€165000,Boulevard des Déportés 32,3,C,234.0,0,1,0,190,0,2,0,Good,0,1,0,0,1,Installed,Gas,Hainaut (West)
house,marilles,1350,10667003,€,Rue d'Horpmael 26,3,NS,0.0,0,0,0,1302,0,4,0,0,0,0,0,0,0,0,0,Walloon Brabant
house,herseaux,7712,10643228,€329000,"Avenue du Château, 200",3,B,137.0,0,1,0,308,0,3,2008,Good,0,1,0,0,2,Installed,Gas,Hainaut (West)
apartment,sint-eloois-vijve (waregem),8793,10666999,€300000,Holstraat 86,2,B,150.0,0,1,0,0,0,4,0,Good,0,1,0,0,0,0,Gas,West Flanders
apartment,noorderwijk,2200,10666998,€249000,Fraikinstraat 7,2,B,165.0,0,0,14,0,24,3,2004,Good,0,1,0,0,0,0,Gas,Antwerp
house,bouffioulx,6200,10478162,€79000,Rue du Parc 5 bt3,2,D,283.0,0,0,0,43,20,2,0,0,0,1,0,0,1,0,0,Luxembourg (shared with Eastern Hainaut)
apartment-block,monceau-sur-sambre,6031,10666992,€220000,Rue du Parc 5 bt3,4,G,748.0,0,0,0,340,40,2,0,0,0,2,0,0,2,0,Gas,Luxembourg (shared with Eastern Hainaut)
house,blaasveld,2830,10666990,€409000,Dorpshart 10,3,B,190.0,0,0,15,310,0,3,1986,Good,0,1,0,0,2,Installed,Gas,Antwerp
villa,gistel,8470,10666986,€1245000,Vlamingstraat 26,3,F,818.0,0,1,0,5924,139,0,0,Good,0,0,0,0,1,Installed,Fuel oil,West Flanders
villa,kapellen,2950,10666985,€649000,Kapelsesteenweg 348,4,C,211.0,0,0,20,2505,52,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,Antwerp
house,ciney,5590,10666984,€599000,Chaussée de Louvain 258,6,D,280.0,0,0,0,3300,62,4,0,As new,0,2,0,1,3,Installed,Fuel oil,Namur
apartment,eupen,4700,10666982,€135000,Poteauerstrasse 90,1,A,56.0,0,0,0,0,21,0,0,0,0,1,0,0,0,Installed,0,Liège
house,izegem,8870,10666978,€349000,Posterijstraat 61,3,C,285.0,0,0,0,374,0,3,1965,To be done up,0,0,0,0,2,0,Gas,West Flanders
apartment,woluwe-saint-pierre,1150,10666977,€299000,Rue Archimède 17,2,E,268.0,0,1,0,0,20,2,1934,Good,0,1,0,0,0,0,Gas,Brussels Capital Region
house,oisquercq,1480,10666975,€,Rue De Mons 46,3,F,478.0,0,0,20,375,25,3,1974,Good,0,1,0,1,1,Semi equipped,Gas,Walloon Brabant
villa,zemst,1980,10666973,€2575000,PARKLAAN 46,8,NS,0.0,0,1,0,15904,0,4,1850,Good,0,8,0,1,10,0,Electric,Flemish Brabant
house,olen,2250,10666972,€415000,Graaf De Broquevillestraat 35,3,B,172.0,0,0,0,1233,0,3,1994,Good,0,1,0,0,4,0,Gas,Antwerp
house,bois-de-lessines,7866,10666971,€,Grand Place 30,2,G,579.0,0,0,0,450,38,3,0,Good,0,0,1,0,2,0,Gas,Hainaut (West)
house,bornem,2880,10666970,€419000,Mercatorstraat 64,3,E,409.0,0,0,0,170,0,3,1900,Good,0,1,0,0,0,0,Gas,Antwerp
house,bornem,2880,10666969,€298000,Mercatorstraat 64,3,F,513.0,0,0,0,370,30,3,1938,Good,0,1,0,0,0,0,0,Antwerp
villa,ninove,9400,10666967,€680000,Edingsesteenweg 296,6,B,177.0,0,1,0,1182,0,4,1993,Good,0,1,0,1,3,0,Electric,East Flanders
house,tienen,3300,10666960,€315000,Hoogstraat 2 bus 1,3,B,116.0,0,0,0,127,0,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,Flemish Brabant
villa,middelkerke,8432,10666959,€1495000,Vlamingstraat 26,7,NS,0.0,0,1,0,6273,0,0,0,As new,0,0,0,0,1,Hyper equipped,Gas,West Flanders
house,philippeville,5600,10666957,€99000,Faubourg Saint Germain   28,1,B,126.0,0,0,0,0,42,4,0,Good,0,0,1,0,1,USA semi equipped,Gas,Namur
bungalow,jalhay,4845,10666954,€255000,Avenue Elisabeth 144,2,G,679.0,0,0,50,810,29,4,0,0,0,1,0,0,1,Installed,Electric,Liège
house,theux,4910,10666953,€365000,Avenue Elisabeth 144,6,G,110092.0,0,0,30,1200,33,4,1974,0,0,1,0,1,2,Installed,Fuel oil,Liège
house,moorslede,8890,10666951,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
house,moorslede,8890,10666949,€370000,Gentsestraat 10/5,7,E,466.0,0,1,0,470,15,0,0,Good,0,0,0,0,2,Installed,Gas,West Flanders
villa,arlon,6700,10666945,€578000,Rue Reine Astrid 26,4,C,187.0,0,0,25,886,40,4,2003,As new,0,1,0,1,2,Hyper equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,bonnert,6700,10666944,€599000,Rue Reine Astrid 26,3,B,100.0,0,0,30,309,52,2,2015,As new,0,2,0,0,3,USA hyper equipped,0,Luxembourg (shared with Eastern Hainaut)
house,arlon,6700,10666943,€950000,Rue Reine Astrid 26,7,C,189.0,0,1,0,1467,42,3,0,Good,0,2,0,1,0,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
apartment,kayl,03780,10666941,€,Rue Reine Astrid 26,2,NS,0.0,0,0,6,0,29,2,2012,As new,0,1,0,0,1,0,Gas,
house,scherpenheuvel-zichem,3270,10666938,€275000,"Diestsesteenweg, 3",3,F,782.0,0,0,0,1000,23,4,1973,0,0,1,0,0,0,Installed,Fuel oil,Flemish Brabant
apartment-block,montignies-sur-sambre,6061,10643432,€239000,Rue des Combattants 37,3,G,1025.0,0,0,0,0,0,2,0,Just renovated,0,2,0,0,2,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,châtelet,6200,10591958,€79000,Rue des Combattants 37,2,F,427.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,Semi equipped,Gas,Luxembourg (shared with Eastern Hainaut)
house,tessenderlo,3980,10666931,€473000,Stationsstraat 73,3,NS,0.0,0,0,0,464,0,3,2023,As new,0,2,0,1,2,Hyper equipped,0,Limburg
house,tessenderlo,3980,10666926,€469000,Stationsstraat 73,3,NS,0.0,0,0,0,472,0,3,2023,As new,0,2,0,1,2,Hyper equipped,0,Limburg
house,tessenderlo,3980,10666923,€427000,Stationsstraat 73,3,NS,0.0,0,0,0,427,0,3,2023,As new,0,2,0,0,2,Hyper equipped,0,Limburg
house,kortrijk,8500,10666917,€275000,Overleiestraat 79,3,F,585.0,0,0,0,312,0,3,0,To renovate,0,1,0,1,0,0,Gas,West Flanders
villa,uccle,1180,10666916,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brussels Capital Region
mansion,ixelles,1050,10666915,€6900000,"Avenue J. Burgers, 2 b24",6,NS,0.0,0,1,0,0,0,3,0,As new,0,7,0,0,0,0,0,Brussels Capital Region
new-real-estate-project-apartments,beveren,9120,10666908,€405000,Stationsstraat 116,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,schaerbeek,1030,10666907,€295000,Molenstraat 93,2,D,167.0,0,0,5,0,0,3,2011,As new,0,1,0,0,1,USA installed,Gas,Brussels Capital Region
villa,mouscron,7700,10623098,€610000,Rue de Menin 400,3,C,185.0,0,0,55,954,56,4,2001,As new,0,1,2,1,0,Installed,Gas,Hainaut (West)
house,la louvière houdeng-aimeries,7110,10666906,€299000,Chaussée Brunehaut 415,2,D,332.0,0,0,111,1298,32,2,0,Good,0,1,1,0,3,Installed,Electric,Hainaut (West)
country-cottage,ieper,8904,10666900,€1250000,Plein 30 a,4,F,719.0,0,0,0,30000,0,4,1930,Just renovated,0,0,0,0,0,USA installed,Gas,West Flanders
villa,wielsbeke,8710,10545213,€569000,Plein 30 a,4,C,228.0,0,1,0,801,0,4,2005,As new,0,1,0,1,0,USA hyper equipped,Gas,West Flanders
apartment,zottegem,9620,10666899,€354000,Meire 50,3,A,35.0,0,0,10,0,0,0,2022,As new,0,1,0,0,1,Installed,Gas,East Flanders
apartment,zottegem,9620,10666898,€279000,Meire 50,3,A,35.0,0,0,6,0,0,0,2022,As new,0,1,0,0,1,Installed,Gas,East Flanders
house,mol,2400,10666896,€275000,Bisschopslaan 16,2,F,628.0,0,0,0,585,0,4,1976,Good,0,1,0,0,0,0,Fuel oil,Antwerp
house,retie,2470,10666895,€270000,Bisschopslaan 16,4,F,601.0,0,0,0,500,0,2,1952,To renovate,0,1,0,0,2,Installed,Fuel oil,Antwerp
house,retie,2470,10666893,€298000,Bisschopslaan 16,3,F,694.0,0,0,0,391,39,2,1972,To be done up,0,1,0,1,1,Installed,Fuel oil,Antwerp
house,heist-op-den-berg,2220,10666892,€,Schrieksebaan 53B001,2,C,264.0,0,1,0,919,24,3,1962,Good,0,1,1,0,2,Hyper equipped,0,Antwerp
ground-floor,geel,2440,10666891,€180000,Antwerpsesteenweg 51/5,2,D,316.0,0,1,0,0,38,2,1995,Good,0,1,0,0,1,0,Gas,Antwerp
house,braine-le-chateau,1440,10666890,€495000,Rue de Nivelles 1,2,F,496.0,0,0,42,2200,42,4,1961,Good,0,1,0,0,1,0,Electric,Walloon Brabant
house,geraardsbergen,9500,10609479,€310047,"Hundelgemsesteenweg, 306",3,A,29.0,0,0,0,350,0,3,0,As new,0,1,0,0,2,0,0,East Flanders
house,heusden-zolder,3550,10666887,€379000,Guido Gezellelaan 16/5,3,D,328.0,0,1,0,1021,0,4,1988,Good,0,1,0,0,2,Hyper equipped,Fuel oil,Limburg
house,diest,3290,10666886,€449000,Markt 6,3,C,208.0,0,0,0,1058,40,4,1987,Just renovated,0,2,0,1,3,USA hyper equipped,Gas,Flemish Brabant
kot,leuven,3000,10666884,€199000,Herbert Hooverplein 14,1,B,123.0,1,1,0,0,0,2,2011,As new,0,1,1,0,1,Installed,Gas,Flemish Brabant
house,ans,4430,10666881,€150000,Rue J. Wettinck 49,3,D,339.0,0,0,0,103,38,2,0,Good,0,1,1,1,1,Semi equipped,Fuel oil,Liège
country-cottage,roosdaal,1761,10666880,€349000,Molenstraat 22A,4,F,712.0,0,0,0,920,35,4,1947,To renovate,0,1,0,0,0,0,Fuel oil,Flemish Brabant
apartment,bruxelles,1000,10666879,€365000,Avenue Louise 433,5,G,546.0,0,0,0,0,21,2,1894,Good,0,1,1,0,1,Installed,Gas,Brussels Capital Region
apartment,bruxelles,1000,10666878,€245000,Avenue Louise 433,2,E,217.0,0,0,0,0,21,2,1894,Good,0,1,1,0,1,Installed,Gas,Brussels Capital Region
apartment-block,sint-joost-ten-node,1210,10455486,€480000,Parklaan 59/1,5,G,431.0,0,0,16,98,20,2,1899,Good,0,3,4,0,4,Semi equipped,0,Brussels Capital Region
exceptional-property,ramillies mont-saint-andré,1367,10666876,€599000,Rue de Tirlemont 23,4,B,124.0,0,0,120,1335,31,4,1900,As new,0,4,2,1,4,USA hyper equipped,0,Walloon Brabant
house,aische-en-refail,5310,10449507,€269000,Rue de Tirlemont 23,3,G,580.0,0,1,0,528,31,2,1920,To renovate,0,1,0,0,1,USA semi equipped,0,Namur
house,tremelo,3120,10666869,€685000,Werchtersesteenweg 1,5,C,220.0,0,0,0,3623,0,4,1988,As new,0,1,0,0,0,0,Gas,Flemish Brabant
house,boortmeerbeek,3191,10666867,€599000,Werchtersesteenweg 1,3,C,282.0,0,0,0,2445,0,4,1990,0,0,1,0,1,2,0,Gas,Flemish Brabant
house,courcelles,6180,10666865,€,Rue Winston Churchill 53,3,E,351.0,0,0,7,0,32,2,0,To be done up,0,1,1,0,1,Semi equipped,Gas,Luxembourg (shared with Eastern Hainaut)
house,houdeng-goegnies,7110,10666864,€,"4, Place Sabatier",5,D,308.0,0,0,0,96,20,2,1900,To be done up,0,3,3,1,3,Semi equipped,Gas,Hainaut (West)
apartment-block,houdeng-goegnies,7110,10666863,€,"4, Place Sabatier",5,D,308.0,0,0,0,96,20,2,1900,To be done up,0,3,3,1,3,Semi equipped,Gas,Hainaut (West)
exceptional-property,peronnes-lez-binche,7134,10666862,€,"4, Place Sabatier",5,F,499.0,0,0,0,888,37,4,1978,Good,0,2,1,0,2,Installed,Fuel oil,Hainaut (West)
apartment,liege,4000,10666861,€175000,Boulevard d'Avroy 206,1,B,133.0,0,0,2,0,21,2,0,Good,0,1,0,0,1,0,0,Liège
house,ninove,9400,10666860,€,Stationstraat 32,2,F,582.0,0,1,0,160,0,2,1918,0,0,0,0,0,1,0,Gas,East Flanders
farmhouse,thumaide-beloeil,7971,10666857,€695000,Rue des ARCHERS 4,4,G,693.0,0,1,0,32691,0,3,0,To renovate,0,1,0,0,2,Installed,Fuel oil,Hainaut (West)
penthouse,vilvoorde,1800,10666856,€269000,Tervuursesteenweg 762 Bus 2,2,B,191.0,0,0,12,0,49,2,1996,As new,0,1,1,0,1,Hyper equipped,0,Flemish Brabant
apartment-block,verviers,4800,10666854,€,Rue de la Wallonie 2A,5,D,264.0,0,0,86,230,14,3,1850,Good,0,5,5,1,5,Not installed,0,Liège
house,saint-nicolas,4420,10666853,€,Rue de la Wallonie 2A,3,B,86.0,0,0,34,197,29,2,2020,As new,0,1,1,1,2,USA installed,Electric,Liège
villa,overijse,3090,10666852,€640000,Brusselsesteenweg 415,4,E,472.0,0,0,0,560,37,4,1971,To renovate,0,2,0,0,2,Semi equipped,Fuel oil,Flemish Brabant
apartment-block,etterbeek,1040,10666850,€1050000,rue Edison 37,0,NS,0.0,0,0,32,0,0,2,1930,Good,0,5,5,0,5,USA installed,Gas,Brussels Capital Region
duplex,ixelles,1050,10666848,€775000,rue Edison 37,3,NS,0.0,0,0,27,0,30,2,1969,As new,0,3,3,1,3,USA hyper equipped,0,Brussels Capital Region
penthouse,uccle,1180,10666846,€2800000,Avenue Louise 251,3,C,149.0,0,0,300,0,40,3,0,As new,0,3,0,0,0,USA hyper equipped,0,Brussels Capital Region
house,couillet,6010,10666844,€129000,Rue de Namur 8,3,F,492.0,0,0,0,405,17,3,0,To be done up,0,1,0,0,0,0,Gas,Luxembourg (shared with Eastern Hainaut)
house,gooik,1755,10666836,€329000,Alsembergsesteenweg 660,2,E,486.0,0,0,0,402,0,4,1900,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,Flemish Brabant
house,jette,1090,10666833,€435000,Brusselsesteenweg 594,5,F,336.0,0,0,28,100,47,2,1927,Good,0,2,0,1,3,Semi equipped,Gas,Brussels Capital Region
house,huldenberg,3040,10666832,€620000,Kardinaal Mercierlaan 81,3,NS,0.0,0,0,16,369,0,3,2024,0,0,1,1,0,2,USA hyper equipped,0,Flemish Brabant
house,huldenberg,3040,10666831,€610000,Kardinaal Mercierlaan 81,3,NS,0.0,0,0,16,348,0,3,2024,0,0,1,1,0,2,USA hyper equipped,0,Flemish Brabant
new-real-estate-project-houses,huldenberg,3040,10666828,€620000,Kardinaal Mercierlaan 81,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flemish Brabant
house,zoersel,2980,10605872,€489500,Handelslei 93,4,F,519.0,0,1,0,2779,0,4,1977,Good,0,2,0,0,2,0,Fuel oil,Antwerp
apartment,anderlecht,1070,10666827,€245000,Rue André Baillon 28 bte 5,2,E,216.0,0,0,0,0,45,2,2003,As new,0,1,1,0,2,Hyper equipped,Gas,Brussels Capital Region
exceptional-property,kampenhout,1910,10666826,€795000,Kardinaal Mercierlaan 81,4,B,118.0,0,1,0,1663,100,3,1957,Good,0,2,2,1,3,USA hyper equipped,Gas,Flemish Brabant
house,willebroek blaasveld,2830,10666825,€549000,Mechelsesteenweg 161A 002,3,B,163.0,0,1,0,525,42,4,2006,Good,0,1,0,0,2,Hyper equipped,Gas,Antwerp
house,egenhoven,3001,10666824,€640000,Kardinaal Mercierlaan 81,4,A,93.0,0,1,0,517,31,4,2009,As new,0,1,0,0,2,Hyper equipped,Gas,Flemish Brabant
apartment,braine-l'alleud,1420,10666822,€430000,Avenue Reine Astrid 215,3,B,93.0,0,0,14,0,44,4,2023,0,0,2,0,0,2,USA hyper equipped,Gas,Walloon Brabant
apartment,antwerp,2060,10666818,€550000,Korenmarkt 55,7,E,410.0,0,0,0,0,0,2,0,To be done up,0,0,0,0,0,0,Gas,Antwerp
apartment-block,antwerp,2060,10666817,€550000,Korenmarkt 55,7,E,410.0,0,0,0,0,0,2,0,To be done up,0,0,0,0,0,0,Gas,Antwerp
villa,schoten,2900,10666816,€2200000,"Orteliuskaai, 8",4,B,157.0,0,1,0,2000,0,4,0,As new,0,2,0,1,3,0,Gas,Antwerp
apartment,brussels,1000,10666814,€1490000,Avenue Legrand 30,4,D,197.0,0,0,6,0,0,2,1930,Just renovated,0,3,2,1,0,Hyper equipped,Fuel oil,Brussels Capital Region
house,antwerp,2060,10666813,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
apartment-block,herstal,4040,10666809,€425000,Rue Julien d'Andrimont 11/4,5,C,241.0,0,1,0,0,0,2,0,Good,0,3,0,0,0,0,0,Liège
apartment,seraing,4101,10666808,€210000,Rue Giacomo Matteoti 10,2,NS,0.0,0,0,32,0,36,0,0,0,0,1,0,0,1,USA semi equipped,Gas,Liège
apartment,uccle,1180,10666807,€825000,"Avenue Delleur, 8",2,C,136.0,0,0,10,0,0,2,1966,As new,0,1,1,0,2,Hyper equipped,Gas,Brussels Capital Region
house,libramont-chevigny,6800,10666804,€249000,Avenue de Bouillon 92,4,NS,0.0,0,0,20,856,28,4,1988,To renovate,0,1,0,0,1,Installed,Electric,Luxembourg (shared with Eastern Hainaut)
apartment,antwerp,2000,10666803,€369000,Lange Lobroekstraat 67,2,E,485.0,0,0,0,0,32,2,1938,Good,0,1,0,0,1,USA hyper equipped,0,Antwerp
house,antwerpen borgerhout,2140,10666802,€465000,Lange Lobroekstraat 67,4,D,313.0,0,0,10,89,40,3,0,As new,0,1,1,0,0,0,0,Antwerp
apartment,antwerp,2060,10666801,€139000,Lange Lobroekstraat 67,1,C,248.0,0,0,10,0,0,2,0,Good,0,1,0,0,0,USA hyper equipped,Gas,Antwerp
house,boom,2850,10617204,€240000,Clemenshoek 74,4,C,247.0,0,1,0,78,0,2,1956,As new,0,1,0,0,0,Installed,0,Antwerp
mixed-use-building,bever,1547,10666797,€195000,Grotestraat 28,2,NS,0.0,0,0,0,187,21,2,1967,To renovate,0,1,1,1,3,Semi equipped,Gas,Flemish Brabant
country-cottage,herne,1540,10666795,€,Grotestraat 28,4,F,629.0,0,0,0,1670,0,4,0,To be done up,0,0,0,0,0,0,0,
bungalow,aalst,9310,10666794,€249000,Grotestraat 28,2,D,393.0,0,1,0,620,32,3,1963,Good,0,1,0,0,2,Installed,Gas,East Flanders
house,sint-lievens-houtem,9520,10666793,€379000,Edgard Tinelstraat 5,3,C,298.0,0,1,0,1494,0,4,0,As new,0,2,0,0,0,Installed,Fuel oil,East Flanders
house,herzele,9550,10666792,€379000,Edgard Tinelstraat 5,3,NS,0.0,0,1,0,1494,0,4,0,As new,0,2,0,0,0,Installed,Fuel oil,East Flanders
house,oostakker,9041,10666791,€239000,Edgard Tinelstraat 5,3,C,274.0,0,1,0,361,0,3,0,To renovate,0,1,0,0,0,0,0,East Flanders
house,oosterzele,9860,10666790,€149000,Edgard Tinelstraat 5,3,F,1131.0,0,1,0,640,0,3,0,To renovate,0,1,0,0,0,0,Electric,East Flanders
apartment,sint-pieters-leeuw,1600,10472667,€399000,Galgstraat 83,3,NS,0.0,0,1,0,0,31,3,2022,As new,0,2,1,0,2,Installed,Gas,Flemish Brabant
villa,ramsel,2230,10420464,€925000,Achiel Cleynhenslaan 19,4,C,259.0,0,1,0,1750,46,4,1991,As new,0,1,2,1,3,Hyper equipped,Gas,Antwerp
house,schelle,2627,10666787,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
house,niel,2845,10666786,€155000,Provinciale Steenweg 354,2,F,720.0,0,1,0,0,0,2,1937,0,0,1,0,0,0,Not installed,Gas,Antwerp
apartment,kortrijk,8500,10666782,€220000,Veemarkt 53,2,D,301.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Fuel oil,West Flanders
house,kieldrecht,9130,10666779,€320000,Yzerhand 14,4,B,169.0,0,0,21,160,35,2,2001,Good,0,2,0,0,2,Installed,Gas,East Flanders
house,brussels,1000,10613973,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brussels Capital Region
ground-floor,uccle,1180,10666778,€599000,rue alphonse renard 56,3,C,98.48,0,0,44,0,0,3,2020,As new,0,2,2,0,2,USA hyper equipped,0,Brussels Capital Region
house,heusden,9070,10666775,€640000,Heusdendorp 7,7,D,397.0,0,0,40,1353,42,4,1980,To renovate,0,2,2,1,3,Semi equipped,Electric,East Flanders
apartment-block,liège,4000,10666774,€299000,Boulevard de Froidmont 82,6,NS,0.0,0,0,0,385,0,2,0,0,0,0,0,0,0,0,0,Liège
apartment-block,ixelles,1050,10666770,€750000,Chaussee de Wavre 44a,4,NS,0.0,0,0,8,53,0,2,0,To renovate,0,3,0,1,4,0,0,Brussels Capital Region
apartment,buggenhout,9255,10666769,€199000,Kerkstraat 84,2,E,474.0,0,0,0,0,0,3,1960,Good,0,1,0,0,1,Installed,Gas,East Flanders
house,mons,7021,10666768,€160000,Chaussée de Roeulx 1251/2b,2,E,407.0,0,1,0,118,26,2,0,Good,0,1,0,0,1,Installed,Gas,Hainaut (West)
house,la louviere,7110,10666767,€260000,Chaussée de Roeulx 1251/2b,3,NS,0.0,0,1,0,246,27,2,2023,0,0,1,0,0,1,Installed,0,Hainaut (West)
house,binche,7130,10666766,€315000,Chaussée de Roeulx 1251/2b,3,NS,0.0,0,1,0,260,28,2,2023,0,0,1,0,0,2,Installed,0,Hainaut (West)
villa,dendermonde,9200,10666765,€745000,Mechelsesteenweg 123 bus 1,6,C,254.0,0,1,0,2000,27,4,2000,As new,0,2,0,1,2,Hyper equipped,Fuel oil,East Flanders
house,lebbeke,9280,10666762,€359000,Mechelsesteenweg 123 bus 1,3,C,267.0,0,1,0,520,0,4,1968,As new,0,1,0,0,0,Hyper equipped,Fuel oil,East Flanders
house,dendermonde,9200,10666761,€419000,Mechelsesteenweg 123 bus 1,3,C,202.0,0,1,0,370,0,3,1995,As new,0,1,1,0,2,Hyper equipped,Gas,East Flanders
apartment-block,molenbeek-saint-jean,1080,10666760,€1450000,Avenue Van Overbeke 134,11,G,500.0,0,0,0,190,0,3,1950,Good,0,7,0,0,11,Hyper equipped,Gas,Brussels Capital Region
house,corroy le grand,1325,10666756,€1495000,Rue de Rixensart 77,10,D,312.0,0,0,59,4125,50,4,1972,As new,0,10,2,1,4,USA hyper equipped,Fuel oil,Walloon Brabant
apartment-block,corroy le grand,1325,10666754,€1495000,Rue de Rixensart 77,10,D,312.0,0,0,59,4125,50,4,1972,As new,0,10,2,1,4,USA hyper equipped,Fuel oil,Walloon Brabant
duplex,rixensart,1330,10666753,€170000,Rue de Rixensart 77,1,E,423.0,0,0,0,0,18,0,1950,Good,0,1,0,0,1,Hyper equipped,Gas,Walloon Brabant
house,leopoldsburg,3971,10666752,€415000,Zuiderring 106,3,A,62.0,0,1,0,398,0,3,0,0,0,1,0,0,0,0,0,Limburg
house,ternat,1742,10666751,€380000,Burchtstraat 12,4,B,200.0,0,1,0,417,42,3,2009,As new,0,1,0,1,2,Hyper equipped,Gas,
